
@RELATION curves2.arff

@ATTRIBUTE a0 REAL
@ATTRIBUTE a1 REAL
@ATTRIBUTE class {0,1}

@DATA
-0.210616,0.744838,0
-0.210757,0.745119,0
-0.210899,0.745399,0
-0.211042,0.745679,0
-0.211186,0.745958,0
-0.211331,0.746237,0
-0.211477,0.746515,0
-0.211623,0.746793,0
-0.211771,0.74707,0
-0.211919,0.747347,0
-0.212068,0.747624,0
-0.212218,0.7479,0
-0.212369,0.748175,0
-0.212521,0.74845,0
-0.212674,0.748725,0
-0.212827,0.748999,0
-0.212982,0.749273,0
-0.213137,0.749546,0
-0.213293,0.749819,0
-0.21345,0.750091,0
-0.213608,0.750362,0
-0.213766,0.750633,0
-0.213926,0.750904,0
-0.214086,0.751174,0
-0.214247,0.751444,0
-0.214409,0.751713,0
-0.214572,0.751982,0
-0.214736,0.75225,0
-0.214901,0.752517,0
-0.215066,0.752785,0
-0.215232,0.753051,0
-0.215399,0.753317,0
-0.215567,0.753583,0
-0.215736,0.753848,0
-0.215906,0.754112,0
-0.216076,0.754376,0
-0.216247,0.754639,0
-0.216419,0.754902,0
-0.216592,0.755165,0
-0.216766,0.755426,0
-0.21694,0.755688,0
-0.217116,0.755948,0
-0.217292,0.756208,0
-0.217469,0.756468,0
-0.217647,0.756727,0
-0.217825,0.756985,0
-0.218005,0.757243,0
-0.218185,0.757501,0
-0.218366,0.757757,0
-0.218548,0.758013,0
-0.218731,0.758269,0
-0.218914,0.758524,0
-0.219098,0.758779,0
-0.219283,0.759032,0
-0.219469,0.759286,0
-0.219656,0.759538,0
-0.219843,0.75979,0
-0.220032,0.760042,0
-0.220221,0.760293,0
-0.22041,0.760543,0
-0.220601,0.760793,0
-0.220792,0.761042,0
-0.220984,0.761291,0
-0.221177,0.761539,0
-0.221371,0.761786,0
-0.221566,0.762033,0
-0.221761,0.762279,0
-0.221957,0.762524,0
-0.222154,0.762769,0
-0.222351,0.763013,0
-0.22255,0.763257,0
-0.222749,0.7635,0
-0.222949,0.763742,0
-0.223149,0.763984,0
-0.223351,0.764225,0
-0.223553,0.764466,0
-0.223756,0.764706,0
-0.223959,0.764945,0
-0.224164,0.765183,0
-0.224369,0.765421,0
-0.224575,0.765659,0
-0.224782,0.765895,0
-0.224989,0.766131,0
-0.225197,0.766367,0
-0.225406,0.766601,0
-0.225615,0.766835,0
-0.225826,0.767069,0
-0.226037,0.767301,0
-0.226249,0.767533,0
-0.226461,0.767765,0
-0.226674,0.767995,0
-0.226888,0.768225,0
-0.227103,0.768455,0
-0.227319,0.768683,0
-0.227535,0.768911,0
-0.227752,0.769139,0
-0.227969,0.769365,0
-0.228187,0.769591,0
-0.228406,0.769817,0
-0.228626,0.770041,0
-0.228846,0.770265,0
-0.229068,0.770488,0
-0.229289,0.770711,0
-0.229512,0.770932,0
-0.229735,0.771154,0
-0.229959,0.771374,0
-0.230183,0.771594,0
-0.230409,0.771813,0
-0.230635,0.772031,0
-0.230861,0.772248,0
-0.231089,0.772465,0
-0.231317,0.772681,0
-0.231545,0.772897,0
-0.231775,0.773112,0
-0.232005,0.773326,0
-0.232235,0.773539,0
-0.232467,0.773751,0
-0.232699,0.773963,0
-0.232931,0.774174,0
-0.233165,0.774385,0
-0.233399,0.774594,0
-0.233633,0.774803,0
-0.233869,0.775011,0
-0.234105,0.775218,0
-0.234341,0.775425,0
-0.234579,0.775631,0
-0.234817,0.775836,0
-0.235055,0.776041,0
-0.235294,0.776244,0
-0.235534,0.776447,0
-0.235775,0.776649,0
-0.236016,0.776851,0
-0.236258,0.777051,0
-0.2365,0.777251,0
-0.236743,0.77745,0
-0.236987,0.777649,0
-0.237231,0.777846,0
-0.237476,0.778043,0
-0.237721,0.778239,0
-0.237967,0.778434,0
-0.238214,0.778629,0
-0.238461,0.778823,0
-0.238709,0.779016,0
-0.238958,0.779208,0
-0.239207,0.779399,0
-0.239457,0.77959,0
-0.239707,0.779779,0
-0.239958,0.779968,0
-0.24021,0.780157,0
-0.240462,0.780344,0
-0.240714,0.780531,0
-0.240968,0.780717,0
-0.241221,0.780902,0
-0.241476,0.781086,0
-0.241731,0.781269,0
-0.241987,0.781452,0
-0.242243,0.781634,0
-0.242499,0.781815,0
-0.242757,0.781995,0
-0.243015,0.782175,0
-0.243273,0.782353,0
-0.243532,0.782531,0
-0.243792,0.782708,0
-0.244052,0.782884,0
-0.244312,0.78306,0
-0.244574,0.783234,0
-0.244835,0.783408,0
-0.245098,0.783581,0
-0.245361,0.783753,0
-0.245624,0.783924,0
-0.245888,0.784094,0
-0.246152,0.784264,0
-0.246417,0.784433,0
-0.246683,0.784601,0
-0.246949,0.784768,0
-0.247215,0.784934,0
-0.247483,0.785099,0
-0.24775,0.785264,0
-0.248018,0.785428,0
-0.248287,0.785591,0
-0.248556,0.785753,0
-0.248826,0.785914,0
-0.249096,0.786074,0
-0.249367,0.786234,0
-0.249638,0.786392,0
-0.249909,0.78655,0
-0.250181,0.786707,0
-0.250454,0.786863,0
-0.250727,0.787018,0
-0.251001,0.787173,0
-0.251275,0.787326,0
-0.25155,0.787479,0
-0.251825,0.787631,0
-0.2521,0.787782,0
-0.252376,0.787932,0
-0.252653,0.788081,0
-0.25293,0.788229,0
-0.253207,0.788377,0
-0.253485,0.788523,0
-0.253763,0.788669,0
-0.254042,0.788814,0
-0.254321,0.788958,0
-0.254601,0.789101,0
-0.254881,0.789243,0
-0.255162,0.789384,0
-0.255443,0.789525,0
-0.255724,0.789664,0
-0.256006,0.789803,0
-0.256288,0.789941,0
-0.256571,0.790077,0
-0.256854,0.790213,0
-0.257138,0.790348,0
-0.257422,0.790483,0
-0.257707,0.790616,0
-0.257991,0.790748,0
-0.258277,0.79088,0
-0.258562,0.791011,0
-0.258849,0.79114,0
-0.259135,0.791269,0
-0.259422,0.791397,0
-0.259709,0.791524,0
-0.259997,0.79165,0
-0.260285,0.791775,0
-0.260574,0.7919,0
