
a0,a1,class
-0.211331,0.746237,0
-0.211477,0.746515,0
-0.211623,0.746793,0
-0.211771,0.74707,0
-0.211919,0.747347,0
-0.212068,0.747624,0
-0.212218,0.7479,0
-0.212369,0.748175,0
-0.212521,0.74845,0
-0.212674,0.748725,0
-0.212827,0.748999,0
-0.212982,0.749273,0
-0.213137,0.749546,0
-0.213293,0.749819,0
-0.21345,0.750091,0
-0.213608,0.750362,0
-0.213766,0.750633,0
-0.213926,0.750904,0
-0.214086,0.751174,0
-0.214247,0.751444,0
-0.214409,0.751713,0
-0.214572,0.751982,0
-0.214736,0.75225,0
-0.214901,0.752517,0
-0.215066,0.752785,0
-0.215232,0.753051,0
-0.215399,0.753317,0
-0.215567,0.753583,0
-0.215736,0.753848,0
-0.215906,0.754112,0
-0.216076,0.754376,0
-0.216247,0.754639,0
-0.216419,0.754902,0
-0.216592,0.755165,0
-0.216766,0.755426,0
-0.21694,0.755688,0
-0.217116,0.755948,0
-0.217292,0.756208,0
-0.217469,0.756468,0
-0.217647,0.756727,0
-0.217825,0.756985,0
-0.218005,0.757243,0
-0.218185,0.757501,0
-0.218366,0.757757,0
-0.218548,0.758013,0
-0.218731,0.758269,0
-0.218914,0.758524,0
-0.219098,0.758779,0
-0.219283,0.759032,0
-0.219469,0.759286,0
-0.219656,0.759538,0
-0.219843,0.75979,0
-0.220032,0.760042,0
-0.220221,0.760293,0
-0.22041,0.760543,0
-0.220601,0.760793,0
-0.220792,0.761042,0
-0.220984,0.761291,0
-0.221177,0.761539,0
-0.221371,0.761786,0
-0.221566,0.762033,0
-0.221761,0.762279,0
-0.221957,0.762524,0
-0.222154,0.762769,0
-0.222351,0.763013,0
-0.22255,0.763257,0
-0.222749,0.7635,0
-0.222949,0.763742,0
-0.223149,0.763984,0
-0.223351,0.764225,0
-0.223553,0.764466,0
-0.223756,0.764706,0
-0.223959,0.764945,0
-0.224164,0.765183,0
-0.224369,0.765421,0
-0.224575,0.765659,0
-0.224782,0.765895,0
-0.224989,0.766131,0
-0.225197,0.766367,0
-0.225406,0.766601,0
-0.225615,0.766835,0
-0.225826,0.767069,0
